ID,Day,Weather,Wind Speed,Cloud Cover,Active Number,Average Radius,Air Density,Average Elevation,Dew Point,Turbine Sweep Area,Average Active Time,Temperature,Relative Humidity,Viscosity,Pressure,Pitch,Hindrance,Power Coefficient,Average Turbine Efficiency,Obtained Electricity
train_00104,,cloudy,11.28,75.9,5.0,48.83,1.407,25.81,12.1,7486.9183459999995,17.0,,,,20.44,8.0,No,,36.0,858.094
train_00105,Saturday,cloudy,8.78,78.85,5.0,46.59,1.441,30.67,8.600000000000001,6815.772234000002,,20.6,,172.00000000000003,25.23,10.0,No,3.7,37.0,1194.528
train_00106,Friday,clear,13.89,2.49,3.0,42.91,1.457,,7.900000000000002,,24.0,25.1,7.0,55.30000000000001,27.63,,Yes,0.31,31.0,551.771
train_00107,Sunday,,4.38,29.49,10.0,41.98,2.374,10.95,20.8,5533.686055999999,19.0,24.0,84.0,1747.2,20.01,11.0,Yes,4.29,39.0,1325.797
train_00108,Sunday,clear,5.31,3.68,8.0,40.76,1.076,13.67,12.100000000000001,5216.725664,23.0,,10.0,121.00000000000001,22.96,1.0,Yes,0.34,34.0,719.18
train_00109,,overcast,11.72,38.72,11.0,48.72,1.341,27.48,21.2,7453.2245760000005,,,39.0,826.8,14.14,8.0,,3.12,39.0,2877.357
train_00110,,windy,26.95,37.96,,,1.761,35.98,10.700000000000001,6983.565984,24.0,24.3,16.0,171.20000000000002,,10.0,No,4.9,49.0,13318.105
train_00111,,clear,10.48,2.12,6.0,49.07,1.031,20.14,6.399999999999999,,22.0,26.0,1.0,6.399999999999999,26.17,8.0,No,2.96,37.0,1262.926
train_00112,Thrusday,rainy,13.32,92.09,6.0,36.45,1.423,,12.0,4171.811850000001,18.0,23.0,45.0,540.0,27.36,4.0,,,32.0,610.141
train_00113,Sunday,overcast,6.25,57.54,15.0,46.37,1.59,32.98,28.500000000000004,6751.555466,20.0,37.7,27.0,769.5000000000001,16.34,,Yes,0.36,,3488.551
train_00114,Wednesday,rainy,14.96,98.02,3.0,45.62,1.581,35.82,16.2,6534.919016,20.0,23.0,66.0,1069.2,24.93,,Yes,0.35,35.0,2493.763
train_00115,,haze,10.86,,8.0,36.49,2.119,14.76,16.6,,22.0,19.8,84.0,1394.4,37.5,5.0,,1.9500000000000002,39.0,3729.877
train_00116,Monday,,15.5,8.08,6.0,49.4,1.35,27.43,10.0,7662.7304,20.0,,1.0,10.0,29.3,4.0,Yes,1.56,39.0,3426.508
train_00117,Sunday,clear,7.19,3.16,3.0,44.71,1.056,11.81,6.199999999999999,6276.810074,20.0,25.8,1.0,,,9.0,Yes,3.42,38.0,297.755
train_00118,Sunday,windy,25.5,18.69,6.0,42.15,1.668,5.27,2.400000000000002,5578.59465,23.0,18.8,9.0,21.60000000000002,33.34,,Yes,3.96,44.0,2019.744
train_00119,Wednesday,windy,18.19,44.59,6.0,,1.697,24.36,11.200000000000001,6986.527946,,19.6,29.0,324.8,41.91,11.0,No,,33.0,2668.795
train_00120,Wednesday,rainy,10.67,,8.0,36.31,1.933,8.73,11.3,4139.826554000001,20.0,22.1,46.0,519.8000000000001,22.77,6.0,No,2.34,39.0,1308.721
train_00121,Friday,haze,6.35,34.76,13.0,42.49,1.956,8.44,15.900000000000002,5668.956314,,21.1,74.0,1176.6000000000001,,,Yes,,31.0,1736.004
train_00122,Thrusday,rainy,16.64,97.12,3.0,47.21,1.602,,16.3,6998.382074000001,16.0,21.1,76.0,1238.8,23.66,9.0,Yes,3.06,34.0,1154.247
train_00123,Monday,windy,16.23,39.36,,45.74,1.665,27.76,13.7,6569.3434640000005,23.0,24.5,23.0,315.09999999999997,28.7,6.0,Yes,2.16,36.0,2215.663
train_00124,,clear,7.21,2.09,,46.34,1.007,34.97,3.8999999999999986,6742.8221840000015,23.0,21.5,6.0,,25.33,11.0,No,4.18,38.0,3177.121
train_00125,Saturday,haze,,15.89,5.0,,2.49,1.45,18.9,5026.512314,18.0,20.7,91.0,1719.8999999999999,28.93,11.0,No,,37.0,192.835
train_00126,Friday,windy,26.26,26.54,8.0,41.34,1.626,13.99,3.6999999999999993,,24.0,19.7,10.0,36.99999999999999,36.66,,No,0.96,48.0,4819.448
train_00127,Sunday,haze,2.46,11.43,,45.68,2.187,18.55,17.200000000000003,6552.119936,23.0,18.6,93.0,1599.6000000000004,32.44,10.0,Yes,3.4000000000000004,34.0,1199.917
train_00128,Sunday,windy,27.01,31.31,6.0,49.25,1.579,22.93,,7616.266250000001,22.0,22.0,9.0,50.40000000000001,22.22,,Yes,0.98,49.0,4575.93
train_00129,Saturday,cloudy,11.85,78.68,8.0,49.03,1.566,18.41,15.0,7548.374426000001,19.0,29.8,13.0,195.0,26.4,,No,2.64,33.0,1145.147
train_00130,Tuesday,windy,27.57,24.23,3.0,49.39,1.57,26.61,7.799999999999999,7659.628393999999,,,21.0,,32.38,10.0,,4.8,48.0,3010.192
train_00131,Thrusday,haze,4.57,33.28,13.0,48.65,1.988,23.54,12.8,7431.822649999999,21.0,18.8,70.0,896.0,38.0,5.0,,1.9,,2726.065
train_00132,Monday,rainy,,81.55,6.0,38.32,1.618,13.5,17.9,4610.8463360000005,19.0,22.9,75.0,1342.5,29.56,6.0,No,1.7999999999999998,30.0,597.057
train_00133,Saturday,,9.27,95.55,5.0,41.4,1.418,,11.0,5381.834400000001,18.0,26.2,12.0,132.0,20.99,5.0,No,1.85,37.0,537.649
train_00134,Monday,rainy,15.1,,6.0,45.12,1.626,35.97,10.4,6392.457215999999,17.0,18.8,58.0,603.2,37.8,1.0,,0.34,34.0,4555.343
train_00135,Saturday,windy,24.98,27.75,4.0,40.51,1.506,5.7,10.2,5152.928714,23.0,25.0,13.0,,27.46,11.0,No,3.52,32.0,899.918
train_00136,Monday,cloudy,8.44,92.4,7.0,39.67,1.454,17.72,9.2,4941.445946000001,22.0,20.0,23.0,211.6,20.15,9.0,Yes,3.5100000000000002,39.0,1047.95
train_00137,Saturday,overcast,8.51,50.79,13.0,46.32,1.377,28.31,23.6,6737.003136000001,21.0,34.0,24.0,566.4000000000001,17.83,4.0,Yes,1.48,37.0,2700.189
train_00138,Thrusday,windy,15.03,22.64,7.0,45.86,1.663,20.52,,,22.0,18.5,,67.5,41.69,11.0,No,4.07,,2265.381
train_00139,Friday,haze,6.21,,14.0,49.11,2.146,,19.6,,22.0,21.8,,1744.4,29.23,,No,1.7999999999999998,,5246.053
train_00140,Saturday,clear,4.94,6.41,4.0,43.62,1.239,6.95,11.0,5974.491816,21.0,28.6,6.0,66.0,22.82,11.0,No,4.18,38.0,270.403
train_00141,Saturday,rainy,,94.82,6.0,45.48,1.537,19.8,,6494.871455999999,19.0,21.8,57.0,752.4000000000001,28.55,8.0,,2.4,30.0,1173.046
train_00142,Friday,clear,7.62,2.57,8.0,43.91,1.217,10.61,9.099999999999998,6054.196633999999,20.0,28.7,,9.099999999999998,27.73,10.0,Yes,3.1,31.0,753.713
train_00143,Thrusday,overcast,10.42,45.09,9.0,45.48,1.427,,26.6,,22.0,35.0,29.0,771.4000000000001,12.32,10.0,No,,39.0,1666.064
train_00144,Saturday,rainy,11.81,94.3,8.0,44.07,1.599,11.28,8.299999999999999,6098.397786,17.0,18.7,48.0,398.4,38.05,7.0,Yes,2.17,31.0,841.236
train_00145,Wednesday,,,30.47,4.0,41.15,1.907,1.96,21.4,5317.03265,19.0,22.4,95.0,2032.9999999999998,27.58,2.0,Yes,0.62,31.0,560.775
train_00146,Thrusday,cloudy,10.93,87.97,5.0,36.09,1.531,1.28,8.0,4089.812634000001,18.0,22.0,,120.0,26.28,4.0,No,1.56,39.0,381.342
train_00147,Saturday,rainy,16.77,97.19,5.0,45.77,1.407,33.72,10.8,6577.963706000001,17.0,18.8,60.0,648.0,37.33,5.0,No,1.9,38.0,3043.614
train_00148,Monday,clear,,8.09,7.0,49.49,1.214,23.78,4.099999999999998,7690.676714000001,20.0,22.9,3.0,12.299999999999994,25.09,2.0,Yes,0.76,38.0,788.079
train_00149,Monday,overcast,10.47,64.0,12.0,45.3,1.33,32.18,26.6,6443.562599999999,23.0,35.0,29.0,771.4000000000001,13.66,9.0,Yes,,32.0,3835.533
train_00150,Friday,cloudy,10.14,90.08,3.0,49.0,1.594,,15.7,7539.14,24.0,25.7,,,28.54,10.0,No,3.1,31.0,560.584
train_00151,Sunday,haze,5.38,11.09,11.0,39.4,1.949,5.07,17.7,,,23.7,70.0,1239.0,21.44,,No,2.73,,1344.967
train_00152,Wednesday,windy,27.5,35.24,7.0,43.49,1.711,17.6,4.599999999999998,5938.933514000001,23.0,21.4,8.0,,28.46,4.0,Yes,1.84,46.0,4973.634
train_00153,Saturday,,10.27,91.08,6.0,38.37,1.761,11.0,17.6,4622.886665999999,16.0,24.2,67.0,1179.2,22.22,11.0,No,3.6300000000000003,33.0,653.065
train_00154,Wednesday,cloudy,9.89,80.66,,42.59,1.445,17.52,10.7,5695.671434000002,19.0,24.7,,160.5,20.67,4.0,Yes,1.36,,617.743
train_00155,Friday,,9.31,,5.0,48.39,1.411,27.46,12.1,7352.599194,22.0,25.5,33.0,399.3,,3.0,No,,36.0,1012.206
train_00156,,cloudy,14.22,88.68,7.0,45.79,1.446,26.3,,6583.713674,17.0,19.4,14.0,69.99999999999997,40.41,1.0,Yes,0.36,36.0,1704.677
train_00157,Saturday,overcast,10.32,60.79,14.0,,1.514,28.34,,6792.3855140000005,22.0,37.1,36.0,874.8000000000001,13.65,1.0,No,0.32,32.0,3423.889
train_00158,Saturday,cloudy,8.93,77.54,,47.93,1.545,24.19,12.299999999999999,,22.0,22.7,24.0,295.2,24.48,5.0,No,1.7000000000000002,34.0,674.39
